,DATE,Precip,Max_temp,Min_temp,Target_max
0,1970-01-01,0.0,56.0,25.0,45.0
1,1970-01-02,0.19,45.0,32.0,51.0
2,1970-01-03,0.0,51.0,29.0,53.0
3,1970-01-04,0.07,53.0,26.0,50.0
4,1970-01-05,0.78,50.0,40.0,40.0
5,1970-01-06,0.0,40.0,26.0,44.0
6,1970-01-07,0.0,44.0,19.0,48.0
7,1970-01-08,0.0,48.0,20.0,40.0
8,1970-01-09,0.03,40.0,32.0,57.0
9,1970-01-10,0.45,57.0,38.0,70.0
10,1970-01-11,0.0,70.0,46.0,53.0
11,1970-01-12,0.0,53.0,39.0,42.0
12,1970-01-13,0.0,42.0,37.0,52.0
13,1970-01-14,0.0,52.0,36.0,61.0
14,1970-01-15,0.0,61.0,31.0,53.0
15,1970-01-16,0.23,53.0,46.0,62.0
16,1970-01-17,0.0,62.0,43.0,49.0
17,1970-01-18,0.03,49.0,30.0,42.0
18,1970-01-19,0.0,42.0,28.0,60.0
19,1970-01-20,0.0,60.0,27.0,41.0
20,1970-01-21,0.08,41.0,35.0,45.0
21,1970-01-22,0.0,45.0,35.0,51.0
22,1970-01-23,0.0,51.0,43.0,71.0
23,1970-01-24,0.0,71.0,48.0,75.0
24,1970-01-25,0.0,75.0,60.0,76.0
25,1970-01-26,0.0,76.0,62.0,77.0
26,1970-01-27,0.0,77.0,57.0,80.0
27,1970-01-28,0.0,80.0,67.0,72.0
28,1970-01-29,0.02,72.0,45.0,58.0
29,1970-01-30,0.0,58.0,32.0,54.0
30,1970-01-31,0.05,54.0,31.0,64.0
31,1970-02-01,1.08,64.0,50.0,56.0
32,1970-02-02,0.0,56.0,34.0,50.0
33,1970-02-03,0.0,50.0,27.0,64.0
34,1970-02-04,0.0,64.0,30.0,65.0
35,1970-02-05,0.0,65.0,52.0,61.0
36,1970-02-06,0.59,61.0,53.0,66.0
37,1970-02-07,0.0,66.0,52.0,70.0
38,1970-02-08,0.06,70.0,53.0,61.0
39,1970-02-09,0.0,61.0,34.0,62.0
40,1970-02-10,0.0,62.0,29.0,71.0
41,1970-02-11,0.0,71.0,40.0,66.0
42,1970-02-12,0.0,66.0,44.0,75.0
43,1970-02-13,0.0,75.0,39.0,77.0
44,1970-02-14,0.0,77.0,59.0,67.0
45,1970-02-15,0.2,67.0,42.0,54.0
46,1970-02-16,0.0,54.0,35.0,68.0
47,1970-02-17,0.0,68.0,31.0,78.0
48,1970-02-18,0.0,78.0,45.0,62.0
49,1970-02-19,0.0,62.0,48.0,63.0
50,1970-02-20,0.0,63.0,44.0,63.0
51,1970-02-21,0.0,63.0,39.0,62.0
52,1970-02-22,0.0,62.0,41.0,62.0
53,1970-02-23,0.07,62.0,51.0,63.0
54,1970-02-24,0.46,63.0,53.0,65.0
55,1970-02-25,0.0,65.0,44.0,64.0
56,1970-02-26,0.0,64.0,34.0,65.0
57,1970-02-27,0.05,65.0,38.0,69.0
58,1970-02-28,0.01,69.0,59.0,70.0
59,1970-03-01,0.0,70.0,61.0,74.0
60,1970-03-02,0.01,74.0,64.0,71.0
61,1970-03-03,0.44,71.0,56.0,68.0
62,1970-03-04,0.0,68.0,56.0,78.0
63,1970-03-05,0.0,78.0,47.0,67.0
64,1970-03-06,1.0,67.0,55.0,61.0
65,1970-03-07,0.91,61.0,49.0,68.0
66,1970-03-08,0.01,68.0,46.0,73.0
67,1970-03-09,0.0,73.0,41.0,74.0
68,1970-03-10,0.21,74.0,50.0,60.0
69,1970-03-11,0.39,60.0,45.0,45.0
70,1970-03-12,0.0,45.0,40.0,58.0
71,1970-03-13,0.0,58.0,34.0,68.0
72,1970-03-14,0.0,68.0,32.0,72.0
73,1970-03-15,0.0,72.0,40.0,68.0
74,1970-03-16,0.36,68.0,57.0,64.0
75,1970-03-17,0.82,64.0,44.0,66.0
76,1970-03-18,0.01,66.0,39.0,71.0
77,1970-03-19,0.2,71.0,52.0,53.0
78,1970-03-20,0.0,53.0,46.0,50.0
79,1970-03-21,0.58,50.0,38.0,63.0
80,1970-03-22,0.0,63.0,32.0,72.0
81,1970-03-23,0.0,72.0,41.0,76.0
82,1970-03-24,0.0,76.0,47.0,76.0
83,1970-03-25,0.0,76.0,54.0,66.0
84,1970-03-26,0.0,66.0,39.0,67.0
85,1970-03-27,0.0,67.0,41.0,73.0
86,1970-03-28,0.13,73.0,47.0,68.0
87,1970-03-29,0.0,68.0,40.0,72.0
88,1970-03-30,0.0,72.0,48.0,76.0
89,1970-03-31,0.01,76.0,58.0,75.0
90,1970-04-01,0.01,75.0,53.0,67.0
91,1970-04-02,0.0,67.0,40.0,70.0
92,1970-04-03,0.0,70.0,35.0,77.0
93,1970-04-04,0.0,77.0,47.0,66.0
94,1970-04-05,0.0,66.0,43.0,78.0
95,1970-04-06,0.0,78.0,37.0,80.0
96,1970-04-07,0.0,80.0,42.0,77.0
97,1970-04-08,0.0,77.0,49.0,71.0
98,1970-04-09,1.66,71.0,62.0,66.0
99,1970-04-10,0.07,66.0,62.0,77.0
100,1970-04-11,0.0,77.0,60.0,82.0
101,1970-04-12,0.0,82.0,58.0,81.0
102,1970-04-13,0.01,81.0,60.0,78.0
103,1970-04-14,0.0,78.0,53.0,76.0
104,1970-04-15,0.0,76.0,62.0,83.0
105,1970-04-16,0.01,83.0,71.0,82.0
106,1970-04-17,0.01,82.0,71.0,78.0
107,1970-04-18,0.0,78.0,72.0,77.0
108,1970-04-19,0.26,77.0,53.0,85.0
109,1970-04-20,0.0,85.0,54.0,81.0
110,1970-04-21,0.0,81.0,59.0,84.0
111,1970-04-22,0.0,84.0,71.0,81.0
112,1970-04-23,0.0,81.0,73.0,84.0
113,1970-04-24,0.0,84.0,73.0,81.0
114,1970-04-25,0.0,81.0,72.0,85.0
115,1970-04-26,0.0,85.0,73.0,86.0
116,1970-04-27,0.0,86.0,74.0,88.0
117,1970-04-28,0.0,88.0,75.0,86.0
118,1970-04-29,0.0,86.0,75.0,84.0
119,1970-04-30,0.18,84.0,63.0,64.0
120,1970-05-01,4.11,64.0,54.0,69.0
121,1970-05-02,0.0,69.0,54.0,76.0
122,1970-05-03,0.0,76.0,52.0,79.0
123,1970-05-04,0.0,79.0,46.0,82.0
124,1970-05-05,0.0,82.0,49.0,82.0
125,1970-05-06,0.0,82.0,50.0,81.0
126,1970-05-07,0.0,81.0,53.0,81.0
127,1970-05-08,0.0,81.0,60.0,83.0
128,1970-05-09,0.0,83.0,71.0,84.0
129,1970-05-10,0.02,84.0,74.0,85.0
130,1970-05-11,0.0,85.0,74.0,86.0
131,1970-05-12,0.0,86.0,72.0,83.0
132,1970-05-13,0.0,83.0,70.0,84.0
133,1970-05-14,0.0,84.0,67.0,75.0
134,1970-05-15,4.64,75.0,65.0,75.0
135,1970-05-16,0.05,75.0,58.0,79.0
136,1970-05-17,0.0,79.0,52.0,84.0
137,1970-05-18,0.0,84.0,60.0,87.0
138,1970-05-19,0.02,87.0,65.0,85.0
139,1970-05-20,0.0,85.0,64.0,81.0
140,1970-05-21,0.42,81.0,67.0,82.0
141,1970-05-22,0.04,82.0,71.0,80.0
142,1970-05-23,1.07,80.0,68.0,84.0
143,1970-05-24,0.1,84.0,66.0,86.0
144,1970-05-25,0.0,86.0,63.0,86.0
145,1970-05-26,1.35,86.0,66.0,85.0
146,1970-05-27,0.0,85.0,69.0,83.0
147,1970-05-28,0.0,83.0,68.0,86.0
148,1970-05-29,0.0,86.0,68.0,82.0
149,1970-05-30,2.25,82.0,67.0,78.0
150,1970-05-31,0.32,78.0,67.0,80.0
151,1970-06-01,0.0,80.0,66.0,80.0
152,1970-06-02,0.0,80.0,61.0,82.0
153,1970-06-03,0.0,82.0,52.0,79.0
154,1970-06-04,0.0,79.0,59.0,83.0
155,1970-06-05,0.0,83.0,56.0,87.0
156,1970-06-06,0.0,87.0,57.0,89.0
157,1970-06-07,0.0,89.0,58.0,87.0
158,1970-06-08,0.0,87.0,65.0,84.0
159,1970-06-09,0.0,84.0,64.0,88.0
160,1970-06-10,0.0,88.0,65.0,85.0
161,1970-06-11,0.0,85.0,74.0,91.0
162,1970-06-12,0.0,91.0,79.0,89.0
163,1970-06-13,0.0,89.0,79.0,91.0
164,1970-06-14,0.0,91.0,72.0,93.0
165,1970-06-15,0.0,93.0,72.0,92.0
166,1970-06-16,0.0,92.0,69.0,91.0
167,1970-06-17,0.0,91.0,69.0,93.0
168,1970-06-18,0.0,93.0,68.0,92.0
169,1970-06-19,0.0,92.0,68.0,91.0
170,1970-06-20,0.16,91.0,68.0,92.0
171,1970-06-21,0.0,92.0,69.0,93.0
172,1970-06-22,0.0,93.0,70.0,92.0
173,1970-06-23,0.06,92.0,70.0,84.0
174,1970-06-24,0.04,84.0,71.0,92.0
175,1970-06-25,0.0,92.0,69.0,93.0
176,1970-06-26,0.0,93.0,75.0,93.0
177,1970-06-27,0.0,93.0,74.0,94.0
178,1970-06-28,0.0,94.0,73.0,93.0
179,1970-06-29,0.0,93.0,72.0,94.0
180,1970-06-30,0.0,94.0,69.0,93.0
181,1970-07-01,0.0,93.0,73.0,94.0
182,1970-07-02,0.0,94.0,71.0,97.0
183,1970-07-03,0.0,97.0,69.0,100.0
184,1970-07-04,0.33,100.0,73.0,93.0
185,1970-07-05,0.0,93.0,69.0,94.0
186,1970-07-06,0.0,94.0,63.0,95.0
187,1970-07-07,0.35,95.0,75.0,95.0
188,1970-07-08,0.05,95.0,73.0,96.0
189,1970-07-09,0.0,96.0,74.0,93.0
190,1970-07-10,0.0,93.0,77.0,94.0
191,1970-07-11,0.0,94.0,73.0,90.0
192,1970-07-12,0.6,90.0,74.0,86.0
193,1970-07-13,0.07,86.0,73.0,89.0
194,1970-07-14,0.35,89.0,72.0,87.0
195,1970-07-15,0.12,87.0,72.0,91.0
196,1970-07-16,0.0,91.0,70.0,90.0
197,1970-07-17,0.0,90.0,72.0,93.0
198,1970-07-18,0.0,93.0,71.0,92.0
199,1970-07-19,0.0,92.0,72.0,92.0
200,1970-07-20,0.0,92.0,69.0,86.0
201,1970-07-21,0.1,86.0,71.0,85.0
202,1970-07-22,0.0,85.0,68.0,88.0
203,1970-07-23,0.0,88.0,64.0,91.0
204,1970-07-24,0.0,91.0,70.0,89.0
205,1970-07-25,0.26,89.0,69.0,89.0
